<personal information; registration, friends list, profile information>
<information about the smart device; log information, event information, device information>
<identity information; government-issued ID image, verification information>
<information; personal information>
<personal information; guest travel insurance partners>
<payment information; payment account information, bank account information>
<information; personal information from other sources, complainants>
<personal information; information about how we handle your personal information, copies of personal information>
<information about how we handle your personal information; structured, commonly used, machine-readable format>
<personal information; bank account details, account balance>
<information; payment schedule, actual payments>
<authorized payment plans; payment schedule, actual payments>
<Information Needed to Use the Airbnb Platform; Contact, Account, Profile Information>
<personal information; legal information, tax information, reporting information, auditing information>
<information; Building Management, guest booking information, compliance information>
<guest booking and personal information; guest contact information>
<personal information; other sources>
<additional information; references, demographic data, fraud detection information, safety issue information>
<fraud detection information; third-party service providers, other third parties, partners, Members, individuals, entities, authorities>
<health information; contagious diseases information>
<information we collect from third parties; referrals, co-travelers information>
<information; Enterprise Product Invitations, Account Management>
<Privacy Policy; supplemental privacy pages>
<personal information; Privacy Policy>
<personal information; background information>
<background information; criminal records, sex offender registrations, other background information>
<information; personal information>
<information; identity verification information, background check information, fraud prevention information, security investigation information, risk assessment information, product development information, maintenance information, debugging information, third-party platform provision information, customer service information, advertising information, payment service information, insurance claim information, communication review information, flexible payment plan information>
<information; account information, interactions with the Airbnb Platform>
