<We; collect, store, use; personal information; username, email address, usage and access information; from user; necessary to provide service; provide requested service>
<We; collect; information; use of the Service, IP address, device ID, time, BSSID, SSID, SIM card identifiers (IMEI), MAC address of access point, signal level, captive portal login steps; from device; none; none>
<We; collect; data; network performance data, internet performance data; none; none; analyze network and internet performance>
<We; collect; information; mobile device type, mobile device unique ID, IP address, mobile operating system, mobile Internet browser type, unique device identifiers, diagnostic data; from device; when access the Service; none>
<We; use; personal information; none; none; where permitted or required by law or regulatory requirements; none>
<We; collect; personal information; email address, social networking profile, age range, country, language, device-based advertising identifiers, mobile device type, operating system version, device settings, time zone, carrier, IP address, MAC address, mobile carrier name, speed test information; from user and mobile devices and networks; when they install and use our App; with explicit consent>
<We; use; personal information; none; none; upon request; opt out of advertising purposes>
<We; request; information; identity confirmation data; from user; when responding to request; ensure swift response>
<We; request; information; username, password, email address, profile picture; from user; if decide to create user account; create user account on Instabridge>
<We; obtain; authentication information; username, email address, encrypted access credentials; from third-party app; if you choose to log in; facilitate login process>
<We; collect; information; profile picture, country, hometown, date of birth, gender, networks; from third-party app account; none; gather information>
<We; upload; account information; primary account information; to website_url_lnk; none; none>
