<We; make available; statement; previous versions; from our service; after changes are made; inform user of changes>
<We; notify; statement changes; none; on Lenovo's website, in Lenovo Product or software experience, by email; at the time changes become effective; inform user>
<We; use, transfer; personal information; none; none; where applicable data protection laws require; seek consent>
<We; none; none; none; none; none; inform user about privacy practices>
<We; collect; identifiers, account information, IP address, user interactions, installed applications, usage data; Motorola device identifiers, Google account information, user interactions with app content, list of applications installed on device; from device; while using Hello You; none>
<We; use; information; described information; none; from app; none; measure app use, improve app content, provide tailored recommendations and content, include targeted advertisements>
<We; use; device IP address; none; from device; none; collect location information>
<Motorola; share; information; none; with content and marketing partners, data hosting and processing service partners; none; none>
<We; provide; interests; entertainment, sports, politics, business, technology; to Hello You; when user specifies interests; provide tailored content>
<We; modify; app settings; Hello You app settings; in account settings page; at any time; customize user experience>
<We; verify; identity; none; none; before granting access; comply with request and applicable law>
<We; verify; identity; none; via Lenovo account; if user has a Lenovo account; ensure security and authentication>
<We; request; information; limited information; none; from user; if user does not have Lenovo account or email address; verify identity>
<We; deny; request; none; from user; if no account with Lenovo, no email address on file, unable to verify identity; none>
<We; collect; information; name, address, email address, language, region/country, product type/model, product serial number, date of product registration, activation data; from user; when creating Lenovo ID or Motorola ID, when registering products; none>
<We; use; information; none; from user; none; administrate account or profile, provide requested services, provide communications>
<We; collect and retain; information; none; from user; none; provide services> <We; share; information; none; with service providers; none; data hosting, processing, and marketing services>
<Lenovo; handle; information; none; from user; in countries with different privacy laws; comply with described privacy practices>
<We; transfer, process; information; none; to such countries; to comply with applicable data protection laws; none>
<Lenovo; maintain agreements; personal information; none; between Lenovo group companies, with Lenovo partners or suppliers; where required; governing transferring, processing and protection>
<We; collect; information; personal information, non-personal information; from user; none; manage marketing, advertising, facilitate participation in events, contests, surveys>
<We; collect; personal information; name, address, email address, phone number, age, date of birth, Lenovo Product information, user profile data; from user; none; none>
<We; use; information; none; to recipients; when allowed by applicable laws; send product support notices, announcements, newsletters, and invitations to complete customer satisfaction surveys>
<We; collect; information; personal information; from user; while interacting with Lenovo; none>
<We; use; user profile; none; from user; when troubleshooting problems; to resolve user issues with Lenovo Product, service, or website>
<We; gather; information; personal information; from user; while interacting with Lenovo; collect user interaction data>
<We; use; user profile; none; from user; none; provide Lenovo Products and services>
<We; collect; personal information; none; from user; while interacting with Lenovo; gather information>
<We; use; user profile; news, updates, information; about Lenovo Products and services; from user; none; provide news, updates, and information>
<We; collect; information; serial number, device ID, IMEI number, product type/model, IP address, Lenovo Product usage information, phone number; from user or Lenovo Product; none; none>
<We; gather; usage information; how you use Lenovo Product, its components, instrumentation, system functionality; from Lenovo Product; none; none>
<We; gather; information; personal information; from user; while interacting with Lenovo; collect information about website usage>
<We; gather; information; personal information; from Lenovo ID, MyAccount, Passport, Motorola ID; none; none>
<We; collect; information; personal information; from customer service interaction; none; none>
<We; collect; information; personal information; from Lenovo Products registration; none; none>
<We; gather; information; personal information; from Lenovo Products and services; when use; none>
<We; use; user profile; none; from user; if choose to receive marketing communications; provide additional Lenovo products or services>
<We; provide; personal information; none; from user; when needed; to provide Lenovo Products, services, experiences, or functionalities>
<We; collect, use, share; information; about you or your product; from user or product; in certain contexts; none>
<We; gather; information; personal information; from user; while interacting with Lenovo; collect information>
<We; create; user profile; none; for Lenovo; none; suggest improvements for products, services, and websites>
<We; collect; information; personal information; from user; when create Lenovo ID, when create Motorola ID, when register Lenovo Product, when create account through My Account or Passport; none>
<We; use; information; Lenovo ID, Motorola ID, related registration information, account information; from user; when use certain software applications, when use interactive services; identify user>
<We; share; personal information; none; within Lenovo, with subsidiaries, affiliates, parent companies, service providers, business partners; none; none>
<We; transfer; personal information; none; to countries where we do business; none; none>
<We; transfer; personal information; none; globally; none; provide protection>
<We; share; personal information; name, Social Security number, email address, billing address, delivery address, telephone number, payment information; with business partners; when using Motorola Marketplace; conduct business and complete transactions>
<Motorola Marketplace; none; personal data; none; on third-party websites or applications; none; none>
<We; none; personal data; none; by websites or applications; none; none>
