<We; process; personal information; minors; none; in accordance with this privacy policy>
<Children; not use; Game Services; none; without their parent or guardian's consent; any purpose>
<We; mean; users; users under the age of 18 years old; none; none>
<We; not process; payments for cash prizes; minors under the legal age; none; none>
<We; no sale, no sharing; personal information; users under 16 years of age; none; none>
<We; require; parental/guardian agreement; Game Services; under the age of 18; before using>
<We; not collect; personal information; children under the age of 18; without parental/guardian consent; none>
<We; investigate, remove; personal information; children under the age of 18; without consent; none>
<We; require; parental consent; children under the age of 18; none; use our services>
<We; not collect; personal information; children under these ages; none; none>
<We; delete; personal information; child under these ages; without parental or guardian consent; none>
