<We; collect; technical information; IP address, user agent, mobile carrier, time zone settings, identifiers for advertising purposes, model of device, device system, network type, device IDs, screen resolution, operating system, app and file names and types, keystroke patterns or rhythms, battery state, audio settings, connected audio devices; from device; none; none>
<We; use; profile information; none; from user; when log in from multiple devices; identify activity across devices>
<We; associate; information; none; from devices other than login devices; none; identify user>
<We; access, store, process; personal information; none; outside of Canada, including in the United States, Malaysia, Ireland, Singapore, and other foreign jurisdictions; none; none>
<We; disclose; personal information; none; to foreign courts, law enforcement, government authorities; when required or permitted by law or legal process; comply with legal requirements>
<We; receive; information; username, password, date of birth, email address, telephone number, user profile information, photograph, profile video; from user; when register on the Platform; none>
<We; collect; account details; phone number, email address, username, public profile; from social network; when register to use the Platform; receive user information>
<We; share; information; app ID, access token, referring URL; with social network; none; none>
<We; share; certain information; none; with third party; if user allows third-party service access; none>
<We; obtain; information; account information, other information; from user; depending on permissions granted; use third-party services>
<We; collect; purchase information; payment card information, billing information, delivery information, contact information, items purchased; from user; when make a purchase or payment; none>
<We; collect, use, share; personal information; none; from users and other individuals; in connection with our Platform; none>
<We; receive; information; none; from third-party social network account; from third-party sources; when register or use the Platform; none>
<We; obtain; information; username, public profile, related information; from social network account; if provided by user or user allows; collect additional data>
<We; share; information; app ID, access token, referring URL; with social network; none; none>
<We; receive; information; use of another service; from linked service; when link TikTok account; obtain user activity data>
<We; use; information; none; from user; none; improve platform, support platform, administer platform, allow use of functionalities, fulfill Terms of Service, enforce Terms of Service>
<We; use; information; none; none; none; personalize content, promote platform, customize ad experience>
<We; use; information; age range, gender, interests; inferred from collected data; none; infer additional information about user>
<We; receive; information; actions taken outside of the Platform, activities on other websites and apps, products or services purchased, mobile identifiers for advertising, hashed email addresses, phone numbers, cookie identifiers; from advertisers, measurement and other partners; none; none>
<We; use; information; none; from user; none; match user actions with TikTok account>
<We; collect; information; similar information; from partners' websites or apps; via TikTok Advertiser Tools; none; none>
<We; receive; information; none; from other sources; when included in User Content, mentioned in User Content, involved in direct messages, complaints, appeals, requests, or feedback; none>
<We; collect; information; none; from publicly available sources; none; none>
<We; collect; location information; approximate location information, SIM card location information, IP address location information; from user; none; none>
<We; collect; location data; GPS; from user; with user's permission; none>
<We; collect; location information; tourist attractions, shops, points of interest; from user; if user chooses to add location information; enhance User Content>
<We; access, collect; information; names, phone numbers, email addresses; from phone contacts; if sync phone contacts; none>
<We; match; information; existing users of the Platform; none; against existing users; none; verify user identity>
<We; collect; public profile information; names, profiles; from social network; if user chooses to share; share social network contacts>
<We; provide; information; none; to certain entities in corporate group; located outside of Australia; when providing certain functions>
<We; share; information; none; with corporate group entities; outside of Australia; none; none>
<We; collect; usage information; engagement with Platform, interaction with content, viewed advertisements, watched videos, encountered problems, browsing history, search history, liked content, saved content, followed users, engagement with followers; from user; none; none>
